id,destinacija,datum,dan,cas 
v10035,Rome Fiumicino,22/12/2022,CET,1:0
v10036,Rome Fiumicino,23/12/2022,PET,1:0
v10037,Rome Fiumicino,24/12/2022,SOB,1:0
v10038,Rome Fiumicino,25/12/2022,NED,1:0
v10039,Rome Fiumicino,26/12/2022,PON,1:0
v10040,Rome Fiumicino,27/12/2022,TOR,1:0
v10041,Rome Fiumicino,28/12/2022,SRE,1:0
v10042,Rome Fiumicino,29/12/2022,CET,1:0
v10043,Rome Fiumicino,30/12/2022,PET,1:0
v10044,Rome Fiumicino,31/12/2022,SOB,1:0
v10045,Rome Fiumicino,1/1/2023,NED,1:0
v10046,Rome Fiumicino,2/1/2023,PON,1:0
v10047,Rome Fiumicino,3/1/2023,TOR,1:0
v10048,Rome Fiumicino,4/1/2023,SRE,1:0
v10049,Rome Fiumicino,5/1/2023,CET,1:0
v10050,Rome Fiumicino,6/1/2023,PET,1:0
